Ambito,Año,Partido ,Actividades Ordinarias,Gastos de Campaña,Actividades Específicas,Total,
Federal,1997,Partido Acción Nacional,259956828.81,259956828.81,7334453.45,527248111.07,
Federal,1997,Partido Revolucionario Institucional,437011758.76,437011758.76,18089139.75,892112657.27,
Federal,1997,Partido de la Revolución Democrática,194531523.78,194531523.78,2272992.90,391336040.46,
Federal,1997,Partido del Trabajo,92994946.66,92994946.66,3947624.70,189937518.02,
Federal,1997,Partido Cardenista,15751920.92,19689901.16,2382957.21,37824779.29,
Federal,1997,Partido Verde Ecologista de México,15751920.92,19689901.16,2151111.94,37592934.02,
Federal,1997,Partido Popular Socialista,7875960.46,9844950.58,0.00,17720911.04,
Federal,1997,Partido Demócrata Mexicano,7875960.46,9844950.58,0.00,17720911.04,
Distrito Federal,1997,Partido Acción Nacional,41194239.95,41194239.95,0.00,82388479.90,
Distrito Federal,1997,Partido Revolucionario Institucional,56926762.98,56926762.98,0.00,113853525.96,
Distrito Federal,1997,Partido de la Revolución Democrática,34358736.17,34358736.17,0.00,68717472.34,
Distrito Federal,1997,Partido del Trabajo,14468998.48,14468998.48,0.00,28937996.96,
Distrito Federal,1997,Partido Cardenista,0.00,6446718.32,0.00,6446718.32,
Distrito Federal,1997,Partido Verde Ecologista de México,14219220.38,14219220.38,0.00,28438440.76,
Distrito Federal,1997,Partido Popular Socialista,,3223359.16,0.00,3223359.16,
Distrito Federal,1997,Partido Demócrata Mexicano,,3223359.16,0.00,3223359.16,
Federal,1998,Partido Acción Nacional,252014358.21,0.00,20481597.50,272495955.71,
Federal,1998,Partido Revolucionario Institucional,341623709.24,0.00,9773143.30,351396852.54,
Federal,1998,Partido de la Revolución Democrática,245256700.95,0.00,2641245.90,247897946.85,
Federal,1998,Partido del Trabajo,78919783.06,0.00,5083993.07,84003776.13,
Federal,1998,Partido Verde Ecologista de México,87789208.21,0.00,2983215.23,90772423.44,
Federal,1999,Partido Acción Nacional,298938596.38,0.00,25144248.90,324082845.28,
Federal,1999,Partido Revolucionario Institucional,405199884.59,0.00,13313734.85,418513619.44,
Federal,1999,Partido de la Revolución Democrática,290869935.65,0.00,6955047.50,297824983.15,
Federal,1999,Partido del Trabajo,93618824.01,0.00,5571175.37,99189999.38,
Federal,1999,Partido Verde Ecologista de México,104119356.07,0.00,8996264.30,113115620.37,
Federal,1999,Convergencia por la Democracia,9939555.00,0.00,0.00,9939555.00,
Federal,1999,Partido de Centro Democrático,9939555.00,0.00,0.00,9939555.00,
Federal,1999,Partido de la Sociedad Nacionalista,9939555.00,0.00,0.00,9939555.00,
Federal,1999,Partido Auténtico de la Revolución Mexicana,9939555.00,0.00,0.00,9939555.00,
Federal,1999,Partido Alianza Social,9939555.00,0.00,0.00,9939555.00,
Federal,1999,Democracia Social,9939555.00,0.00,0.00,9939555.00,
Federal,2000,Partido Acción Nacional,335767829.30,335767829.30,21177590.59,692713249.19,
Federal,2000,Partido Revolucionario Institucional,455120507.44,455120507.44,10873263.37,921114278.25,
Federal,2000,Partido de la Revolución Democrática,326705109.66,326705109.66,3442281.55,656852500.87,
Federal,2000,Partido del Trabajo,105152662.47,105152662.47,7039781.38,217345106.32,
Federal,2000,Partido Verde Ecologista de México,116946859.98,116946859.98,13349515.35,247243235.31,
Federal,2000,Convergencia por la Democracia,26793859.37,26793859.37,414890.39,54002609.13,
Federal,2000,Partido de Centro Democrático,26793859.37,26793859.37,1183723.45,54771442.19,
Federal,2000,Partido de la Sociedad Nacionalista,26793859.37,26793859.37,4710907.52,58298626.26,
Federal,2000,Partido Auténtico de la Revolución Mexicana,26793859.37,26793859.37,,53587718.74,
Federal,2000,Partido Alianza Social,26793859.37,26793859.37,,53587718.74,
Federal,2000,Democracia Social,26793859.37,26793859.37,988029.23,54575747.97,
Federal,2001,Partido Acción Nacional,619250613.60,,18223645.22,637474258.82,
Federal,2001,Partido Revolucionario Institucional,689794183.75,,5092492.78,694886676.53,
Federal,2001,Partido de la Revolución Democrática,273198587.92,,6548232.30,279746820.22,
Federal,2001,Partido del Trabajo,137992579.60,,8277767.62,146270347.22,
Federal,2001,Partido Verde Ecologista de México,176310746.53,,0.00,176310746.53,
Federal,2001,Convergencia por la Democracia,113638342.80,,643441.80,114281784.60,
Federal,2001,Partido de la Sociedad Nacionalista,98192354.46,,4726500.00,102918854.46,
Federal,2001,Partido Alianza Social,98192354.46,,603750.00,98796104.46,
Federal,2002,Partido Acción Nacional,646497591.42,,20607006.57,667104597.99,
Federal,2002,Partido Revolucionario Institucional,720145034.18,,15679312.77,735824346.95,
Federal,2002,Partido de la Revolución Democrática,285219385.37,,9553118.08,294772503.45,
Federal,2002,Partido del Trabajo,144064326.53,,10656499.50,154720826.03,
Federal,2002,Partido Verde Ecologista de México,184068421.70,,2455500.00,186523921.70,
Federal,2002,Convergencia por la Democracia,118638429.43,,13973279.69,132611709.12,
Federal,2002,Partido de la Sociedad Nacionalista,102512817.67,,1639612.50,104152430.17,
Federal,2002,Partido Alianza Social,102512817.67,,4056562.50,106569380.17,
Federal,2002,Partido Liberal Progresista,19197156.87,,,19197156.87,
Federal,2002,México Posible,19197156.87,,,19197156.87,
Federal,2002,Fuerza Ciudadana,19197156.87,,,19197156.87,
Federal,2003,Partido Acción Nacional,641132019.91,641132019.91,26249070.02,1308513109.84,
Federal,2003,Partido Revolucionario Institucional,714168268.29,714168268.29,16915012.92,1445251549.49,
Federal,2003,Partido de la Revolución Democrática,282852142.03,282852142.03,8531486.04,574235770.10,
Federal,2003,Partido del Trabajo,142868588.82,142868588.82,11503603.77,297240781.42,
Federal,2003,Partido Verde Ecologista de México,182540739.69,182540739.69,1897664.15,366979143.52,
Federal,2003,Convergencia,117653787.75,117653787.75,13089415.44,248396990.95,
Federal,2003,Partido de la Sociedad Nacionalista,101662010.78,101662010.78,6274152.09,209598173.65,
Federal,2003,Partido Alianza Social,101662010.78,101662010.78,5306467.78,208630489.34,
Federal,2003,Partido Liberal Mexicano,45690791.36,45690791.36,2370203.95,93751786.67,
Federal,2003,México Posible,45690791.36,45690791.36,1685200.24,93066782.96,
Federal,2003,Fuerza Ciudadana,45690791.36,45690791.36,,91381582.72,
Federal-Extraordinaria,2003,Partido Acción Nacional,,1709685.39,,1709685.39,
Federal-Extraordinaria,2003,Partido Revolucionario Institucional,,1904448.72,,1904448.72,
Federal-Extraordinaria,2003,Partido de la Revolución Democrática,,754272.38,,754272.38,
Federal-Extraordinaria,2003,Partido del Trabajo,,380982.90,,380982.90,
Federal-Extraordinaria,2003,Partido Verde Ecologista de México,,486775.31,,486775.31,
Federal-Extraordinaria,2003,Convergencia,,313743.43,,313743.43,
Federal,2004,Partido Acción Nacional,499131088.83,,30382449.65,529513538.48,
Federal,2004,Partido Revolucionario Institucional,550797172.79,,16862411.83,567659584.62,
Federal,2004,Partido de la Revolución Democrática,323894251.95,,7419458.74,331313710.69,
Federal,2004,Partido del Trabajo,121285135.05,,4837711.22,126122846.27,
Federal,2004,Partido Verde Ecologista de México,171206971.42,,2798419.20,174005390.62,
Federal,2004,Convergencia,119515565.97,,5885317.01,125400882.98,
Federal,2005,Partido Acción Nacional,546037428.77,,14227223.14,560264651.91,
Federal,2005,Partido Revolucionario Institucional,602558884.31,,427325.70,602986210.01,
Federal,2005,Partido de la Revolución Democrática,354332536.06,,1183650.85,355516186.91,
Federal,2005,Partido del Trabajo,132683026.11,,4928545.95,137611572.06,
Federal,2005,Partido Verde Ecologista de México,187296316.65,,298425.00,187594741.65,
Federal,2005,Convergencia,130747160.02,,5970996.18,136718156.20,
Federal,2005,Nueva Alianza,16280461.27,,,16280461.27,
Federal,2005,Alternativa Socialdemócrata y Campesina,16280461.27,,,16280461.27,
Federal,2006,Partido Acción Nacional,555866537.74,555866537.74,17588089.70,1129321165.18,
Federal,2006,Partido Revolucionario Institucional,613405424.52,613405424.52,113565.83,1226924414.87,
Federal,2006,Partido de la Revolución Democrática,360710804.15,360710804.15,1269761.33,722691369.63,
Federal,2006,Partido del Trabajo,135071426.34,135071426.34,4866351.53,275009204.21,
Federal,2006,Partido Verde Ecologista de México,190667799.64,190667799.64,900387.90,382235987.18,
Federal,2006,Convergencia,133100713.12,133100713.12,6077296.90,272278723.14,
Federal,2006,Nueva Alianza,39776454.11,39776454.11,2752000.22,82304908.44,
Federal,2006,Alternativa Socialdemócrata y Campesina,39776454.11,39776454.11,778227.55,80331135.77,
Federal,2007,Partido Acción Nacional,742564326.75,,17904902.32,760469229.07,
Federal,2007,Partido Revolucionario Institucional,518607618.08,,60892.50,518668510.58,
Federal,2007,Partido de la Revolución Democrática,446114655.18,,1079839.26,447194494.44,
Federal,2007,Partido del Trabajo,211597430.18,,4847921.88,216445352.06,
Federal,2007,Partido Verde Ecologista de México,223435776.64,,300129.30,223735905.94,
Federal,2007,Convergencia,200063796.17,,7696220.79,207760016.96,
Federal,2007,Nueva Alianza,187505882.36,,1549000.12,189054882.48,
Federal,2007,Alternativa Socialdemócrata y Campesina,139594106.52,,1178264.57,140772371.09,
Federal,2008,Partido Acción Nacional,705695906.49,,21170877.19,726866783.68,
Federal,2008,Partido Revolucionario Institucional,493691232.20,,14810736.97,508501969.17,
Federal,2008,Partido de la Revolución Democrática,424209886.25,,12726296.59,436936182.84,
Federal,2008,Partido del Trabajo,201211946.92,,6036358.41,207248305.33,
Federal,2008,Partido Verde Ecologista de México,212478661.97,,6374359.86,218853021.83,
Federal,2008,Convergencia,190244835.15,,5707345.05,195952180.20,
Federal,2008,Nueva Alianza,178303836.42,,5349115.09,183652951.51,
Federal,2008,Alternativa Socialdemócrata,132737911.69,,3982137.35,136720049.04,
Federal,2008,Partido Acción Nacional,,,24284746.63,24284746.63,
Federal,2008,Partido Revolucionario Institucional,,,1830982.66,1830982.66,
Federal,2008,Partido de la Revolución Democrática,,,1053415.86,1053415.86,
Federal,2008,Partido del Trabajo,,,5613279.52,5613279.52,
Federal,2008,Partido Verde Ecologista de México,,,7500646.50,7500646.50,
Federal,2008,Convergencia,,,24672268.91,24672268.91,
Federal,2008,Nueva Alianza,,,9599788.84,9599788.84,
Federal,2008,Alternativa Socialdemócrata,,,1024911.06,1024911.06,
Federal,2009,Partido Acción Nacional,759363129.76,227808938.93,22780893.89,1009952962.58,
Federal,2009,Partido Revolucionario Institucional,531235897.67,159370769.30,15937076.93,706543743.90,
Federal,2009,Partido de la Revolución Democrática,456470557.82,136941167.34,13694116.73,607105841.89,
Federal,2009,Partido del Trabajo,216513876.21,64954162.86,6495416.29,287963455.36,
Federal,2009,Partido Verde Ecologista de México,228637396.49,68591218.95,6859121.89,304087737.33,
Federal,2009,Convergencia,204712727.93,61413818.38,6141381.84,272267928.15,
Federal,2009,Nueva Alianza,191863629.69,57559088.91,5755908.89,255178627.49,
Federal,2009,Partido Socialdemócrata,142832372.14,42849711.64,2856647.44,188538731.22,
Federal,2010,Partido Acción Nacional,735555936.77,,22066678.10,757622614.87,
Federal,2010,Partido Revolucionario Institucional,930336055.99,,27910081.68,958246137.67,
Federal,2010,Partido de la Revolución Democrática,390900495.35,,11727014.86,402627510.21,
Federal,2010,Partido del Trabajo,204498639.26,,6134959.18,210633598.44,
Federal,2010,Partido Verde Ecologista de México,271007583.24,,8130227.50,279137810.74,
Federal,2010,Convergencia,178458833.59,,5353765.01,183812598.60,
Federal,2010,Nueva Alianza,199299576.21,,5978987.28,205278563.49,
Federal,2011,Partido Acción Nacional,788458074.83,,23653742.24,812111817.07,
Federal,2011,Partido Revolucionario Institucional,997247050.93,,29917411.53,1027164462.46,
Federal,2011,Partido de la Revolución Democrática,419014572.56,,12570437.18,431585009.74,
Federal,2011,Partido del Trabajo,219206457.99,,6576193.74,225782651.73,
Federal,2011,Partido Verde Ecologista de México,290498794.92,,8714963.85,299213758.77,
Federal,2011,Convergencia,191293832.82,,5738814.98,197032647.80,
Federal,2011,Nueva Alianza,213633457.58,,6409003.73,220042461.31,
Federal,2012,Partido Acción Nacional,849568327.89,424784163.94,25487049.84,1299839541.67,
Federal,2012,Partido Revolucionario Institucional,1074539708.07,537269854.03,32236191.24,1644045753.34,
Federal,2012,Partido de la Revolución Democrática,451490727.45,225745363.72,13544721.82,690780812.99,
Federal,2012,Partido del Trabajo,236196279.70,118098139.85,7085888.39,361380307.94,
Federal,2012,Partido Verde Ecologista de México,313014202.45,156507101.22,9390426.07,478911729.74,
Federal,2012,Movimiento Ciudadano,206120257.85,103060128.93,6183607.74,315363994.52,
Federal,2012,Nueva Alianza,230191338.17,115095669.09,6905740.15,352192747.41,
Federal,2013,Partido Acción Nacional,832796092.85,,24983882.79,857779975.64,
Federal,2013,Partido Revolucionario Institucional,991526978.13,,29745809.34,1021272787.47,
Federal,2013,Partido de la Revolución Democrática,634867508.95,,19046025.27,653913534.22,
Federal,2013,Partido del Trabajo,273435553.55,,8203066.61,281638620.16,
Federal,2013,Partido Verde Ecologista de México,313466657.34,,9403999.72,322870657.06,
Federal,2013,Movimiento Ciudadano,257877302.28,,7736319.07,265613621.35,
Federal,2013,Nueva Alianza,259955880.56,,7798676.42,267754556.98,
